도시별,지출목적별,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전국,0 총지수,69.908,72.418,74.413,76.081,78.010,81.656,83.906,86.373,89.850,91.815,93.010,94.196,94.861,95.783,97.645,99.086,99.466,100.00,102.50,107.71
,01 식료품 및 비주류음료,55.212,59.670,61.523,61.846,63.394,66.532,71.573,76.162,82.363,85.626,86.360,86.612,88.041,90.073,93.134,95.717,95.762,100.00,105.89,112.15
,02 주류 및 담배,52.164,52.757,60.594,60.472,60.720,61.043,61.735,61.987,62.468,63.402,64.460,64.413,96.674,97.338,98.805,99.063,99.682,100.00,100.43,102.62
,03 의류 및 신발,68.497,68.716,69.406,71.262,73.165,75.039,78.839,81.153,83.852,87.862,90.431,94.060,95.317,97.029,98.082,99.169,99.270,100.00,100.56,103.71
,"04 주택, 수도, 전기 및 연료",70.024,72.302,73.678,75.791,77.485,80.850,81.753,83.695,87.475,91.499,94.735,97.451,96.827,96.038,97.666,98.354,99.488,100.00,101.63,107.19
,05 가정용품 및 가사 서비스,72.985,73.518,73.941,74.095,76.030,79.376,82.894,83.185,86.269,88.743,88.980,90.872,93.225,94.673,95.712,97.875,99.967,100.00,101.87,106.78
,06 보건,80.401,81.555,83.360,85.000,86.480,88.147,90.064,91.640,93.252,94.106,94.443,95.108,96.298,97.247,98.109,98.058,98.516,100.00,99.92,100.76
,07 교통,77.396,80.107,84.129,88.020,91.153,99.173,95.661,100.348,107.373,110.852,110.267,108.496,99.990,97.775,101.277,103.727,101.867,100.00,106.33,116.68
,08 통신,120.681,118.800,116.621,115.125,112.812,111.179,110.994,109.981,108.203,105.419,105.282,105.217,105.017,105.105,105.410,104.507,102.112,100.00,99.10,100.02
,09 오락 및 문화,95.713,95.633,95.728,93.454,91.843,93.199,95.362,96.199,97.714,97.964,98.968,99.392,98.906,100.729,100.781,101.272,101.023,100.00,100.43,103.29
,10 교육,67.022,70.737,73.717,77.280,81.900,86.373,88.535,90.539,92.101,93.406,94.504,95.893,97.540,99.135,100.272,101.645,102.178,100.00,100.87,102.23
,11 음식 및 숙박,65.833,68.309,69.949,71.307,72.630,76.110,79.030,80.874,84.331,85.342,86.666,87.923,89.974,92.232,94.441,97.292,99.061,100.00,102.73,110.53
,12 기타 상품 및 서비스,61.728,62.975,63.877,67.198,70.514,76.876,82.140,85.027,87.776,84.908,85.302,87.932,90.271,93.378,95.967,96.533,98.082,100.00,102.00,108.27
　　　서울특별시,0 총지수,69.180,71.874,73.755,75.279,77.252,80.466,82.838,85.162,88.412,90.605,91.869,93.300,94.470,95.585,97.494,98.799,99.382,100.00,102.10,106.69
,01 식료품 및 비주류음료,55.344,60.378,62.877,63.087,64.627,67.498,72.648,76.649,82.635,85.688,85.903,86.106,88.038,89.857,93.614,95.878,95.330,100.00,105.39,111.50
