행정구역별,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
행정구역별,출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),혼인건수 (건),조혼인율 (천명당)
전국,"640,089",1.480,13.5,"332,090",7.0,"559,934",1.309,11.7,"318,407",6.7,"496,911",1.178,10.3,"304,877",6.3,"495,036",1.191,10.2,"302,503",6.3,"476,958",1.164,9.8,"308,598",6.4,"438,707",1.085,9.0,"314,304",6.5,"451,759",1.132,9.2,"330,634",6.8,"496,822",1.259,10.1,"343,559",7.0,"465,892",1.192,9.4,"327,715",6.6,"444,849",1.149,9.0,"309,759",6.2,"470,171",1.226,9.4,"326,104",6.5,"471,265",1.244,9.4,"329,087",6.6,"484,550",1.297,9.6,"327,073",6.5,"436,455",1.187,8.6,"322,807",6.4,"435,435",1.205,8.6,"305,507",6.0,"438,420",1.239,8.6,"302,828",5.9,"406,243",1.172,7.9,"281,635",5.5,"357,771",1.052,7.0,"264,455",5.2,"326,822",0.977,6.4,"257,622",5.0,"302,676",0.918,5.9,"239,159",4.7,"272,337",0.837,5.3,"213,502",4.2,"260,562",0.808,5.1,"192,507",3.8,"249,000",0.780,4.9,"191,690",3.7
서울특별시,"133,154",1.275,12.9,"78,745",7.7,"114,764",1.111,11.2,"77,376",7.5,"102,008",1.006,10.0,"72,696",7.1,"101,227",1.014,9.9,"72,750",7.1,"99,828",1.015,9.8,"71,553",7.0,"90,468",0.932,8.9,"71,286",7.0,"93,922",0.980,9.2,"73,924",7.3,"101,249",1.068,9.9,"76,399",7.5,"94,736",1.010,9.3,"71,753",7.0,"89,594",0.962,8.8,"68,841",6.7,"93,266",1.015,9.2,"70,466",6.9,"91,526",1.014,9.0,"71,519",7.1,"93,914",1.059,9.3,"71,695",7.1,"84,066",0.968,8.4,"68,819",6.9,"83,711",0.983,8.4,"64,823",6.5,"83,005",1.001,8.4,"64,193",6.5,"75,536",0.940,7.7,"57,643",5.9,"65,389",0.836,6.7,"53,776",5.5,"58,074",0.761,6.0,"52,005",5.4,"53,673",0.717,5.6,"48,261",5.0,"47,445",0.642,5.0,"44,746",4.7,"45,531",0.626,4.8,"37,012",3.9,"42,500",0.590,4.5,"35,752",3.8
부산광역시,"41,222",1.235,10.8,"23,343",6.1,"35,848",1.103,9.5,"21,825",5.8,"30,767",0.975,8.2,"20,916",5.6,"30,117",0.988,8.1,"20,027",5.4,"28,231",0.953,7.7,"19,898",5.4,"25,681",0.887,7.0,"18,973",5.2,"25,881",0.915,7.1,"20,017",5.5,"28,426",1.024,7.9,"21,484",6.0,"26,670",0.980,7.5,"20,149",5.6,"25,110",0.940,7.1,"18,614",5.2,"27,415",1.045,7.8,"20,195",5.7,"27,759",1.078,7.9,"20,224",5.8,"28,673",1.135,8.2,"20,362",5.8,"25,831",1.049,7.4,"20,734",5.9,"26,190",1.090,7.5,"18,927",5.4,"26,645",1.139,7.7,"18,553",5.3,"24,906",1.095,7.2,"17,113",4.9,"21,480",0.976,6.2,"15,677",4.5,"19,152",0.899,5.6,"14,781",4.3,"17,049",0.827,5.0,"13,780",4.1,"15,058",0.747,4.5,"12,128",3.6,"14,446",0.728,4.3,"11,081",3.3,"14,100",0.720,4.3,"10,618",3.2
대구광역시,"32,477",1.378,12.9,"16,124",6.4,"28,111",1.216,11.1,"14,833",5.9,"24,260",1.076,9.6,"13,741",5.4,"24,513",1.116,9.7,"14,028",5.5,"23,259",1.087,9.2,"13,792",5.5,"20,804",1.001,8.3,"13,152",5.2,"20,360",1.011,8.1,"13,892",5.5,"22,295",1.137,8.9,"14,655",5.9,"20,562",1.072,8.2,"13,743",5.5,"19,399",1.029,7.8,"12,844",5.2,"20,557",1.109,8.3,"13,479",5.4,"20,758",1.146,8.3,"13,813",5.6,"21,472",1.217,8.6,"13,642",5.5,"19,340",1.127,7.8,"13,601",5.5,"19,361",1.169,7.8,"12,552",5.1,"19,438",1.216,7.9,"12,545",5.1,"18,298",1.186,7.4,"12,216",5.0,"15,946",1.067,6.5,"11,392",4.6,"14,400",0.987,5.9,"10,967",4.5,"13,233",0.932,5.4,"9,880",4.1,"11,193",0.807,4.6,"8,340",3.5,"10,661",0.785,4.5,"7,287",3.1,"10,100",0.760,4.3,"7,497",3.2
인천광역시,"34,433",1.473,13.6,"17,857",7.1,"30,494",1.324,11.9,"17,066",6.7,"26,775",1.185,10.4,"16,851",6.6,"26,832",1.213,10.4,"15,720",6.1,"25,092",1.158,9.7,"15,900",6.2,"23,026",1.075,8.9,"16,515",6.4,"23,711",1.116,9.1,"17,261",6.6,"26,712",1.257,10.1,"18,227",6.9,"25,365",1.186,9.5,"18,108",6.8,"24,379",1.143,9.0,"16,643",6.2,"25,752",1.214,9.5,"17,407",6.4,"26,118",1.232,9.5,"18,013",6.6,"27,781",1.301,9.9,"18,079",6.5,"25,560",1.195,9.0,"18,010",6.4,"25,786",1.212,9.0,"17,251",6.0,"25,491",1.216,8.8,"17,118",5.9,"23,609",1.144,8.1,"16,092",5.5,"20,445",1.007,7.0,"15,235",5.2,"20,087",1.006,6.9,"14,850",5.1,"18,522",0.940,6.3,"13,401",4.6,"16,040",0.829,5.5,"11,574",4.0,"14,947",0.778,5.1,"10,881",3.7,"14,500",0.750,4.9,"10,849",3.7
광주광역시,"21,148",1.636,15.5,"9,557",7.0,"18,198",1.421,13.2,"8,765",6.4,"16,036",1.264,11.5,"8,230",5.9,"15,954",1.278,11.4,"7,760",5.6,"14,729",1.203,10.5,"8,012",5.7,"13,327",1.105,9.5,"7,827",5.6,"13,679",1.152,9.7,"8,487",6.0,"14,810",1.262,10.5,"8,858",6.3,"13,890",1.198,9.8,"8,472",6.0,"13,101",1.137,9.2,"8,088",5.7,"13,979",1.223,9.7,"8,566",6.0,"13,916",1.234,9.6,"8,946",6.2,"14,392",1.295,9.9,"8,596",5.9,"12,729",1.170,8.7,"8,820",6.0,"12,729",1.199,8.7,"8,213",5.6,"12,441",1.207,8.5,"7,945",5.4,"11,580",1.168,7.9,"7,468",5.1,"10,120",1.053,6.9,"7,141",4.9,"9,105",0.972,6.3,"6,632",4.6,"8,364",0.913,5.8,"6,297",4.3,"7,318",0.811,5.1,"5,560",3.8,"7,956",0.896,5.5,"4,901",3.4,"7,400",0.840,5.2,"4,902",3.4
대전광역시,"19,570",1.501,14.2,"9,664",7.0,"17,290",1.330,12.4,"9,505",6.8,"15,631",1.207,11.1,"9,131",6.5,"15,712",1.221,11.0,"8,973",6.3,"15,024",1.181,10.4,"8,857",6.2,"13,950",1.107,9.6,"9,035",6.2,"14,489",1.158,9.9,"9,502",6.5,"15,780",1.274,10.7,"9,684",6.6,"14,856",1.215,10.0,"9,499",6.4,"13,915",1.156,9.4,"8,885",6.0,"14,314",1.205,9.6,"9,351",6.3,"14,808",1.261,9.9,"9,726",6.5,"15,279",1.315,10.1,"9,745",6.5,"14,099",1.234,9.3,"9,621",6.3,"13,962",1.250,9.2,"9,118",6.0,"13,774",1.277,9.1,"8,805",5.8,"12,436",1.192,8.3,"8,325",5.5,"10,851",1.075,7.2,"7,697",5.1,"9,337",0.952,6.3,"7,377",5.0,"8,410",0.883,5.7,"6,602",4.5,"7,481",0.805,5.1,"5,976",4.1,"7,414",0.810,5.1,"5,419",3.7,"7,700",0.840,5.3,"5,662",3.9
울산광역시,"15,816",1.633,15.3,"6,890",6.7,"13,600",1.423,13.0,"6,730",6.4,"11,666",1.242,11.0,"6,512",6.1,"11,720",1.280,11.0,"6,528",6.1,"11,151",1.241,10.4,"6,647",6.2,"10,469",1.186,9.7,"6,939",6.4,"10,740",1.242,9.9,"7,493",6.9,"11,955",1.403,10.9,"7,563",6.9,"11,365",1.338,10.3,"7,837",7.1,"11,033",1.308,9.9,"7,267",6.5,"11,432",1.369,10.2,"7,660",6.9,"11,542",1.393,10.3,"7,768",6.9,"12,160",1.481,10.7,"7,887",7.0,"11,330",1.391,9.9,"7,998",7.0,"11,556",1.437,10.0,"7,674",6.6,"11,732",1.486,10.1,"7,483",6.4,"10,910",1.418,9.4,"7,006",6.0,"9,381",1.261,8.1,"6,331",5.4,"8,149",1.131,7.1,"5,894",5.1,"7,539",1.084,6.6,"5,442",4.7,"6,617",0.984,5.8,"4,737",4.2,"6,127",0.940,5.5,"4,077",3.6,"5,400",0.850,4.9,"4,013",3.6
세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,054",1.597,10.2,634,6.1,"1,111",1.435,9.5,743,6.4,"1,344",1.354,9.7,920,6.7,"2,708",1.893,14.8,"1,498",8.2,"3,297",1.821,14.6,"1,612",7.1,"3,504",1.668,13.4,"1,728",6.6,"3,703",1.566,12.5,"2,038",6.9,"3,819",1.472,11.7,"2,039",6.2,"3,468",1.277,10.0,"1,854",5.3,"3,570",1.277,9.8,"1,627",4.5,"3,200",1.120,8.5,"1,664",4.4
경기도,"141,704",1.628,15.6,"69,160",7.6,"126,264",1.437,13.5,"68,516",7.3,"116,854",1.305,12.0,"68,330",7.0,"120,433",1.321,12.0,"68,255",6.8,"117,812",1.280,11.4,"70,236",6.8,"109,533",1.183,10.4,"72,431",6.8,"115,111",1.239,10.7,"77,231",7.1,"126,648",1.361,11.5,"81,248",7.4,"119,397",1.285,10.7,"78,004",7.0,"113,692",1.226,10.0,"73,403",6.5,"121,753",1.309,10.5,"78,471",6.8,"122,027",1.314,10.4,"79,137",6.7,"124,746",1.355,10.5,"79,449",6.7,"112,129",1.226,9.3,"77,649",6.4,"112,169",1.241,9.2,"74,306",6.1,"113,495",1.272,9.2,"73,950",6.0,"105,643",1.194,8.4,"70,052",5.6,"94,088",1.069,7.4,"66,429",5.2,"88,175",1.002,6.9,"66,877",5.2,"83,198",0.943,6.4,"62,356",4.8,"77,737",0.878,5.9,"57,814",4.4,"76,139",0.853,5.7,"54,658",4.1,"75,300",0.840,5.6,"54,178",4.0
강원도,"19,482",1.600,12.5,"9,898",6.4,"16,873",1.413,10.9,"9,162",5.9,"15,314",1.317,9.9,"8,378",5.4,"14,349",1.279,9.4,"8,413",5.5,"13,776",1.261,9.0,"8,235",5.4,"12,657",1.188,8.3,"8,496",5.6,"12,455",1.202,8.3,"8,731",5.8,"13,690",1.356,9.1,"8,930",5.9,"12,373",1.253,8.2,"8,517",5.7,"12,112",1.248,8.0,"8,081",5.3,"12,477",1.313,8.2,"8,365",5.5,"12,408",1.338,8.2,"8,338",5.5,"12,426",1.374,8.2,"8,225",5.4,"10,980",1.249,7.2,"7,946",5.2,"10,662",1.248,7.0,"7,785",5.1,"10,929",1.311,7.1,"7,876",5.1,"10,058",1.237,6.5,"7,468",4.9,"8,958",1.123,5.8,"7,295",4.7,"8,351",1.067,5.4,"6,994",4.6,"8,283",1.082,5.4,"6,762",4.4,"7,835",1.036,5.1,"5,868",3.8,"7,357",0.979,4.8,"5,622",3.7,"7,300",0.970,4.8,"5,572",3.6
충청북도,"19,628",1.583,13.1,"9,586",6.4,"17,322",1.426,11.6,"9,325",6.2,"15,329",1.294,10.3,"8,684",5.8,"14,650",1.270,9.8,"8,423",5.6,"14,331",1.272,9.6,"8,534",5.7,"13,164",1.195,8.8,"8,390",5.6,"13,366",1.233,9.0,"9,291",6.2,"15,002",1.398,10.0,"9,834",6.6,"14,064",1.319,9.3,"9,512",6.3,"13,903",1.317,9.1,"8,666",5.7,"14,670",1.402,9.6,"9,171",6.0,"14,804",1.428,9.6,"9,542",6.2,"15,139",1.485,9.8,"9,275",6.0,"13,658",1.365,8.8,"9,307",6.0,"13,366",1.363,8.5,"8,774",5.6,"13,563",1.414,8.6,"8,872",5.6,"12,742",1.358,8.1,"8,334",5.3,"11,394",1.235,7.2,"7,990",5.0,"10,586",1.172,6.7,"7,827",4.9,"9,333",1.050,5.9,"7,239",4.6,"8,607",0.983,5.4,"6,682",4.2,"8,190",0.949,5.1,"5,882",3.7,"7,500",0.870,4.7,"6,185",3.9
충청남도,"24,733",1.698,12.9,"12,097",6.3,"21,962",1.532,11.4,"11,113",5.8,"19,059",1.361,10.0,"10,421",5.4,"18,627",1.358,9.8,"10,551",5.5,"18,640",1.357,9.6,"11,418",5.9,"17,521",1.267,8.9,"12,107",6.2,"18,625",1.356,9.5,"13,373",6.8,"20,630",1.506,10.4,"13,766",6.9,"19,749",1.444,9.8,"13,354",6.7,"19,257",1.408,9.5,"12,708",6.3,"20,242",1.479,9.9,"13,185",6.4,"20,398",1.496,9.8,"13,216",6.4,"20,448",1.571,10.2,"12,849",6.4,"18,628",1.442,9.2,"12,482",6.2,"18,200",1.421,8.9,"12,040",5.9,"18,604",1.480,9.0,"12,331",6.0,"17,302",1.395,8.3,"11,792",5.7,"15,670",1.276,7.5,"10,961",5.2,"14,380",1.186,6.8,"10,970",5.2,"13,228",1.112,6.3,"9,826",4.7,"11,950",1.029,5.7,"8,493",4.0,"10,984",0.963,5.2,"8,016",3.8,"10,200",0.910,4.8,"8,017",3.8
전라북도,"25,173",1.595,12.6,"11,362",5.7,"22,192",1.426,11.1,"10,281",5.1,"19,215",1.275,9.7,"10,687",5.4,"18,437",1.274,9.4,"10,246",5.2,"17,257",1.239,8.9,"10,111",5.2,"15,745",1.184,8.3,"10,196",5.4,"15,571",1.213,8.3,"10,429",5.6,"17,228",1.380,9.2,"10,864",5.8,"15,878",1.305,8.5,"10,399",5.6,"15,233",1.279,8.2,"9,605",5.2,"16,100",1.374,8.7,"10,525",5.7,"16,175",1.405,8.7,"10,353",5.6,"16,238",1.440,8.7,"10,022",5.4,"14,555",1.320,7.8,"9,823",5.3,"14,231",1.329,7.7,"9,211",5.0,"14,087",1.352,7.6,"9,060",4.9,"12,698",1.251,6.8,"8,216",4.4,"11,348",1.151,6.1,"7,817",4.2,"10,001",1.044,5.5,"7,219",3.9,"8,971",0.971,4.9,"7,005",3.9,"8,165",0.909,4.5,"6,053",3.4,"7,475",0.850,4.2,"5,325",3.0,"7,000",0.820,4.0,"5,394",3.0
